Key,block1Title,previewText,logo,logoUrl,headlineImg,headlineMobImg,topModText,heroImg,heroMobImg,heroAltText,heroUrl,headerCopy11,headerCopy12,cta1Url,cta1Text,mod1DesktopImg,mod1DesktopText,mod1MobileImg,mod1MobileText,mod1DesktopImgUrl,mod1ImgAtlText,mod2DesktopImg,mod2DesktopText,mod2MobileImg,mod2MobileText,mod2ImgUrl,mod2ImgAltText,mod3DesktopImg,mod3DesktopText,mod3MobileImg,mod3MobileText,mod3ImgUrl,mod3ImgAltText,headlineImage2Desktop,headlineImage2Mobile,Headlinetext2,heroImage2Desktop,heroImage2Mobile,heroImage2Url,heroImage2AltText,headerCopy3,headerCopy4,headerCopy5,cta2,cta2Url,cta3,cta3Url,cta4,cta4Url
1,Mes 1: Tienes todavía tanto que descubrir sobre tu bebé,Descubre qué puedes esperar en tu revisión del mes 1…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-1&utm_content=header_logo,be-title-post-month-1-es.jpg,be-title-post-month-1-es-mob.jpg,,be-hero-post-month-1-cae.jpg,be-hero-post-month-1-cae-mob.jpg,Puedes aprender tanto de esos adorables oohs y ayys,https://www.dodot.es/recien-nacido/crecimiento-y-desarrollo/articulo/visita-medica-de-control-del-primer-mes?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-1&utm_content=maincta _maincta,Tu primera gran revisión médica te enseñará mucho más de lo que podrás aprender con solo ver a tu bebé.,"Tu doctor es la mejor fuente de información acerca de tu bebé, así que si tienes preguntas o dudas, pregúntale.",https://www.dodot.es/recien-nacido/crecimiento-y-desarrollo/articulo/visita-medica-de-control-del-primer-mes?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-1&utm_content=maincta _maincta,Ve lo que puedes esperar de tu revisión médica,be-post-month-1-es.jpg,,be-post-month-1-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mes 2: La segunda visita de control de tu bebé,Descubre qué puedes esperar en tu revisión del mes 2…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-2&utm_content=header_logo,be-title-post-month-2-es.jpg,be-title-post-month-2-es-mob.jpg,,be-hero-post-month-2-cae.jpg,be-hero-post-month-2-cae-mob.jpg,Siempre vas a querer saber todos los pequeños detalles,https://www.dodot.es/recien-nacido/crecimiento-y-desarrollo/articulo/visita-medica-de-control-2-meses?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-2&utm_content=maincta _maincta,Cada visita al doctor es una oportunidad para aprender más de tu peque.,"Estas revisiones se harán menos frecuentes, así que asegúrate de que tu médico responda a todas tus preguntas y dudas acerca del desarrollo de tu bebé, ¡para eso está!",https://www.dodot.es/recien-nacido/crecimiento-y-desarrollo/articulo/visita-medica-de-control-2-meses?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-2&utm_content=maincta _maincta,Ve lo que puedes esperar de tu revisión médica,be-post-month-2-es.jpg,,be-post-month-2-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mes 3: Tu bebé comienza a enfocar,La visión de tu bebé se vuelve más clara y definida cada día...,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-3&utm_content=header_logo,be-title-post-month-3-es.jpg,be-title-post-month-3-es-mob.jpg,,be-hero-post-month-3-cae.jpg,be-hero-post-month-3-cae-mob.jpg,La visión de tu bebé se vuelve más clara y definida cada día...,https://www.dodot.es/recien-nacido/crecimiento-y-desarrollo/articulo/visita-medica-de-control-2-meses?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-3&utm_content=maincta _maincta,"Día a día, tu bebé te ve más nítidamente.","Los maravillosos ojitos de tu bebé siguen desarrollando el alcance, seguimiento y percepción del color. No es de extrañarse que tu cara sea lo que más le guste ver.",https://www.dodot.es/recien-nacido/crecimiento-y-desarrollo/articulo/visita-medica-de-control-2-meses?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-3&utm_content=maincta _maincta,Conoce más acerca de la vista de tu bebé,be-post-month-3-es.jpg,,be-post-month-3-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Mes 4: Aprende, descansa, repite",Estos son nuestros consejos favoritos para establecer la rutina de sueño…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-4&utm_content=header_logo,be-title-post-month-4-es.jpg,be-title-post-month-4-es-mob.jpg,,be-hero-post-month-4-cae.jpg,be-hero-post-month-4-cae-mob.jpg,"Algunas veces, crecer suena así ""zzzzz""",https://www.dodot.es/bebe/el-sueno/articulo/patrones-de-sueno-en-bebes-de-0-a-36-meses?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-4&utm_content=maincta _maincta,Establecer una rutina de sueño es fundamental: tu bebé se desarrolla mientras duerme.,"Hay muchas maneras de abordar la rutina del sueño, y todas requieren tiempo, paciencia, y práctica. Aquí, un video con algunas de nuestras ideas favoritas.",https://www.dodot.es/bebe/el-sueno/articulo/patrones-de-sueno-en-bebes-de-0-a-36-meses?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-4&utm_content=maincta _maincta,Ve nuestros consejos para el entrenamiento del sueño,be-post-month-4-es.jpg,,be-post-month-4-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mes 5: De pronto sus manos son la cosa más interesante,"Tu bebé se está preparando para crecer mucho, mucho más…",,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-5&utm_content=header_logo,be-title-post-month-5-es.jpg,be-title-post-month-5-es-mob.jpg,,be-hero-post-month-5-cae.jpg,be-hero-post-month-5-cae-mob.jpg,Porque cada caricia les enseña algo nuevo,https://www.dodot.es/recien-nacido/crecimiento-y-desarrollo/articulo/mes-5?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-5&utm_content=maincta _maincta,El nuevo interés de tu bebé por sus manos es una señal de que está aprendiendo a interactuar mejor con el mundo.,"Desde darse la vuelta solo hasta los primeros dientes, puedes esperar muchas cosas nuevas en el desarrollo de tu peque en las próximas semanas.",https://www.dodot.es/recien-nacido/crecimiento-y-desarrollo/articulo/mes-5?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-5&utm_content=maincta _maincta,Ve más sobre las etapas de desarrollo,be-post-month-5-es.jpg,,be-post-month-5-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mes 6: ¿Cómo regstro el crecimiento de mi bebé?,Para esos pequeños accidentes…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-6&utm_content=header_logo,be-title-post-month-6-es.jpg,be-title-post-month-6-es-mob.jpg,pero sí todo lo demás,be-hero-post-month-6-cae.jpg,be-hero-post-month-6-cae-mob.jpg,"Lo único que los médicos no van a medir es ""ohhh""",https://www.dodot.es/recien-nacido/crecimiento-y-desarrollo/articulo/tabla-de-crecimiento-como-interpretarla?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-6&utm_content=maincta _maincta,Una tabla de crecimiento te ayudará para saber qué tanto ha progresado tu bebé.,"Registrar el tamaño y peso de tu bebé puede decirte mucho de su salud y desarrollo, así que asegúrate de llevar el regsitro correctamente. Para facilitarte la tarea, queremos ayudarte a entender una tabla de crecimiento y a interpretar los resultados.",https://www.dodot.es/recien-nacido/crecimiento-y-desarrollo/articulo/tabla-de-crecimiento-como-interpretarla?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-6&utm_content=maincta _maincta,Descubre más,be-post-month-6-es.jpg,,be-post-month-6-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,Encuentra una tabla de crecimiento para tu bebé,https://www.dodot.es/bebe/crecimiento-y-desarrollo/articulo/tablas-de-peso-y-altura ?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-6&utm_content=secondcta_secondarycta,,,,,
7,Mes 7: Esa sonrisa se vuelve más y más tierna,Así puedes ayudar a tu bebé a estar más cómodo durante la dentición,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-7&utm_content=header_logo,be-title-post-month-7-es.jpg,be-title-post-month-7-es-mob.jpg,diente a diente,be-hero-post-month-7-cae.jpg,be-hero-post-month-7-cae-mob.jpg,Su sonrisa se vuelve más y más brillante con cada nuevo diente,https://www.dodot.es/bebe/empezando-con-los-dientes/articulo/que-puede-aliviar-las-molestias-de-la-denticion?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-7&utm_content=maincta _maincta,"La dentición tiene su lado difícil, pero hay muchas maneras de ayudar a tu peque a estar más cómodo.",Tan simple como masticar fruta fría o acurrucarse juntos un rato… Estos son algunos de nuestros remedios favoritos para la dentición.,https://www.dodot.es/bebe/empezando-con-los-dientes/articulo/que-puede-aliviar-las-molestias-de-la-denticion?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-7&utm_content=maincta _maincta,Descubre nuestros consejos,be-post-month-7-es.jpg,,be-post-month-7-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mes 8: ¿Qué hay allí?,"Ve nuestros tips favoritos para hacer de tu casa un lugar seguro para ""exploradores""",,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-8&utm_content=header_logo,be-title-post-month-8-es.jpg,be-title-post-month-8-es-mob.jpg,el comienzo de un emocionante viaje,Month_8_hero-es.jpg,Month_8_hero-es-mob.jpg,"Arrastrarse, tropezarse y resbalarse puede ser el comienzo de un emocionante viaje",https://www.dodot.es/bebe/seguridad-en-casa?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-8&utm_content=maincta _maincta,Un ambiente apto para peques le da la libertad para explorar su mundo en constante expansión.,"Si no sabes por dónde empezar, intenta ponerte a su altura. Un recorrido por la casa gateando es una estupenda manera para ver las cosas desde su perspectiva.",https://www.dodot.es/bebe/seguridad-en-casa?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-8&utm_content=maincta _maincta,Más ideas para la seguridad infantil ,be-post-month-8-es.jpg,,be-post-month-8-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mes 9: ¿Estás preparada para la visita médica de los 9 meses? ,Descubre qué puedes esperar en tu revisión del mes 9…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-9&utm_content=header_logo,be-title-post-month-9-es.jpg,be-title-post-month-9-es-mob.jpg,ahora son con el pediatra,be-hero-post-month-9-cae.jpg,be-hero-post-month-9-cae-mob.jpg,Porque tus citas más importantes son con el pediatra,https://www.dodot.es/bebe/crecimiento-y-desarrollo/articulo/visita-medica-de-control-de-los-9-meses?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-9&utm_content=maincta _maincta,"Durante la visita de los 9 meses, tu pediatra se centrará en la alimentación, los hábitos de sueño y el desarrollo de tu hijo. ",También es el momento de ponerte al día con cualquier vacuna que el pequeño no haya recibido.,https://www.dodot.es/bebe/crecimiento-y-desarrollo/articulo/visita-medica-de-control-de-los-9-meses?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_month-9&utm_content=maincta _maincta,Descubre todo sobre la visita médica de los 9 meses,be-post-month-9-es.jpg,,be-post-month-9-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,be-hero-post-month-10-cae.jpg,be-hero-post-month-10-cae-mob.jpg,,,,,,,be-post-month-10-es.jpg,,be-post-month-10-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
