Key,block1Title,previewText,logo,logoUrl,headlineImg,headlineMobImg,topModText,heroImg,heroMobImg,heroAltText,heroUrl,headerCopy11,headerCopy12,cta1Url,cta1Text,mod1DesktopImg,mod1DesktopText,mod1MobileImg,mod1MobileText,mod1DesktopImgUrl,mod1ImgAtlText,mod2DesktopImg,mod2DesktopText,mod2MobileImg,mod2MobileText,mod2ImgUrl,mod2ImgAltText,mod3DesktopImg,mod3DesktopText,mod3MobileImg,mod3MobileText,mod3ImgUrl,mod3ImgAltText,headlineImage2Desktop,headlineImage2Mobile,Headlinetext2,heroImage2Desktop,heroImage2Mobile,heroImage2Url,heroImage2AltText,headerCopy3,headerCopy4,headerCopy5,cta2,cta2Url,cta3,cta3Url,cta4,cta4Url
-40,Revisa nuestro calendario del embarazo,¿Sabes qué está pasando en esta semana de embarazo?,,https://www.dodot.es/?utm_source=pampersus&utm_medium=email&utm_campaign=welcome-content_prenatal_organic&utm_content=logo,ws-content-title-es.jpg.jpg,ws-content-title-es-mob.jpg.jpg,,Profile-prenatall_hero_es.jpg,Profile-prenatall_hero_es-mob.jpg,Esta historia es tan maravillosa que siempre querréis vivir un capítulo más,https://www.dodot.es/embarazo/calendario-del-embarazo?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week0_heroimg,"Descubre cada semana nuevos detalles, desde el embarazo hasta la llegada del bebé.",¡Noticias frescas! ¿Qué está pasando en tu embarazo?,https://www.dodot.es/embarazo/calendario-del-embarazo?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week0_maincta,Revisa nuestro calendario del embarazo,5ea825d8a995e76e0a125c66/original.jpg?1588078040,,5ea825e69ae168166b9184b0/original.jpg?1588078054,,,,,,,,,,,,,,,,,,,,,,,"<b>Desde el embarazo hasta el nacimiento, cada semana revela más asombrosos detalles.</b><br /><br />
Te enviaremos mensajes regularmente con los momentos más emocionantes.",,,Revisa nuestro calendario del embarazo,https://www.dodot.es/embarazo/calendario-del-embarazo?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week0_maincta,,,,
-39,Revisa nuestro calendario del embarazo,¿Sabes qué está pasando en esta semana de embarazo?,,https://www.dodot.es/?utm_source=pampersus&utm_medium=email&utm_campaign=welcome-content_prenatal_organic&utm_content=logo,ws-content-title-es.jpg.jpg,ws-content-title-es-mob.jpg.jpg,,Profile-prenatall_hero_es.jpg,Profile-prenatall_hero_es-mob.jpg,Esta historia es tan maravillosa que siempre querréis vivir un capítulo más,https://www.dodot.es/embarazo/calendario-del-embarazo?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week1_heroimg,"Descubre cada semana nuevos detalles, desde el embarazo hasta la llegada del bebé.",¡Noticias frescas! ¿Qué está pasando en tu embarazo?,https://www.dodot.es/embarazo/calendario-del-embarazo?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week1_maincta,Revisa nuestro calendario del embarazo,5ea183a69ae1680e36b33b52/original.jpg?1587643302,Semana 1,5ea1864d9ae1680f7cb3390e/original.jpg?1587643981,Semana 1,,,,,,,,,,,,,,,,,,,,,,"<b>Desde el embarazo hasta el nacimiento, cada semana revela más asombrosos detalles.</b><br /><br />
Te enviaremos mensajes regularmente con los momentos más emocionantes.",,,Revisa nuestro calendario del embarazo,https://www.dodot.es/embarazo/calendario-del-embarazo?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week1_maincta,,,,
-38,Revisa nuestro calendario del embarazo,¿Sabes qué está pasando en esta semana de embarazo?,,https://www.dodot.es/?utm_source=pampersus&utm_medium=email&utm_campaign=welcome-content_prenatal_organic&utm_content=logo,ws-content-title-es.jpg.jpg,ws-content-title-es-mob.jpg.jpg,,Profile-prenatall_hero_es.jpg,Profile-prenatall_hero_es-mob.jpg,Esta historia es tan maravillosa que siempre querréis vivir un capítulo más,https://www.dodot.es/embarazo/calendario-del-embarazo?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week2_heroimg,"Descubre cada semana nuevos detalles, desde el embarazo hasta la llegada del bebé.",¡Noticias frescas! ¿Qué está pasando en tu embarazo?,https://www.dodot.es/embarazo/calendario-del-embarazo?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week2_maincta,Revisa nuestro calendario del embarazo,5ea183a636dc786bc077a764/original.jpg?1587643302,Semana 2,5ea1864e36dc786d5677a4ff/original.jpg?1587643982,Semana 2,,,,,,,,,,,,,,,,,,,,,,"<b>Desde el embarazo hasta el nacimiento, cada semana revela más asombrosos detalles.</b><br /><br />
Te enviaremos mensajes regularmente con los momentos más emocionantes.",,,Revisa nuestro calendario del embarazo,https://www.dodot.es/embarazo/calendario-del-embarazo?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week2_maincta,,,,
-37,Revisa nuestro calendario del embarazo,¿Sabes qué está pasando en esta semana de embarazo?,,https://www.dodot.es/?utm_source=pampersus&utm_medium=email&utm_campaign=welcome-content_prenatal_organic&utm_content=logo,ws-content-title-es.jpg.jpg,ws-content-title-es-mob.jpg.jpg,,Profile-prenatall_hero_es.jpg,Profile-prenatall_hero_es-mob.jpg,Esta historia es tan maravillosa que siempre querréis vivir un capítulo más,https://www.dodot.es/embarazo/calendario-del-embarazo?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week3_heroimg,"Descubre cada semana nuevos detalles, desde el embarazo hasta la llegada del bebé.",¡Noticias frescas! ¿Qué está pasando en tu embarazo?,https://www.dodot.es/embarazo/calendario-del-embarazo?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week3_maincta,Revisa nuestro calendario del embarazo,5ea183a643c19d16ca84b8c5/original.jpg?1587643302,Semana 3,5ea1864db0c2be6f8346343b/original.jpg?1587643981,Semana 3,,,,,,,,,,,,,,,,,,,,,,"<b>Desde el embarazo hasta el nacimiento, cada semana revela más asombrosos detalles.</b><br /><br />
Te enviaremos mensajes regularmente con los momentos más emocionantes.",,,Revisa nuestro calendario del embarazo,https://www.dodot.es/embarazo/calendario-del-embarazo?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week3_maincta,,,,
-36,Mira lo que está pasando en la semana 4,¿Sabes qué está pasando en esta semana de embarazo?,,https://www.dodot.es/?utm_source=pampersus&utm_medium=email&utm_campaign=welcome-content_prenatal_organic&utm_content=logo,ws-content-title-es.jpg.jpg,ws-content-title-es-mob.jpg.jpg,,Profile-prenatall_hero_es.jpg,Profile-prenatall_hero_es-mob.jpg,Esta historia es tan maravillosa que siempre querréis vivir un capítulo más,https://www.dodot.es/embarazo/calendario-del-embarazo/series/embarazo-semana-4?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week4_heroimg,"Descubre cada semana nuevos detalles, desde el embarazo hasta la llegada del bebé.",¡Noticias frescas! ¿Qué está pasando en tu embarazo?,https://www.dodot.es/embarazo/calendario-del-embarazo/cuarta-semana-de-embarazo?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-4&utm_content=maincta _maincta,Mira lo que está pasando en la semana 4,5ea183a6a995e77b70c05a52/original.jpg?1587643302,Semana 4,5ea1864d3f0da203f5d3f6a9/original.jpg?1587643981,Semana 4,,,,,,,,,,,,,,,,,,,,,,Algo grande está pasando. ¡Tu peque ya mide10 milimetros! Y desde ahora crecerá y crecerá…muy rápido,,,Mira lo que está pasando en la semana 4,https://www.dodot.es/embarazo/calendario-del-embarazo/series/embarazo-semana-4?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week4_maincta,,,,
-35,Mira lo que está pasando en la semana 5,¿Sabes qué está pasando en esta semana de embarazo?,,https://www.dodot.es/?utm_source=pampersus&utm_medium=email&utm_campaign=welcome-content_prenatal_organic&utm_content=logo,ws-content-title-es.jpg.jpg,ws-content-title-es-mob.jpg.jpg,,Profile-prenatall_hero_es.jpg,Profile-prenatall_hero_es-mob.jpg,Esta historia es tan maravillosa que siempre querréis vivir un capítulo más,https://www.dodot.es/embarazo/calendario-del-embarazo/series/embarazo-semana-5?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week5_heroimg,"Descubre cada semana nuevos detalles, desde el embarazo hasta la llegada del bebé.",¡Noticias frescas! ¿Qué está pasando en tu embarazo?,https://www.dodot.es/embarazo/calendario-del-embarazo/quinta-semana-de-embarazo?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-5&utm_content=maincta _maincta,Mira lo que está pasando en la semana 5,5ea183a6a995e77c85c05cc1/original.jpg?1587643302,Semana 5,5ea1864d43c19d670d84bdae/original.jpg?1587643981,Semana 5,,,,,,,,,,,,,,,,,,,,,,Tu peque está aprovechando al máximo todos los nutrientes que le das. ¡No te olvides de que ahora comes por dos!,,,Mira lo que está pasando en la semana 5,https://www.dodot.es/embarazo/calendario-del-embarazo/series/embarazo-semana-5?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week5_maincta,,,,
-34,Mira lo que está pasando en la semana 6,¿Sabes qué está pasando en esta semana de embarazo?,,https://www.dodot.es/?utm_source=pampersus&utm_medium=email&utm_campaign=welcome-content_prenatal_organic&utm_content=logo,ws-content-title-es.jpg.jpg,ws-content-title-es-mob.jpg.jpg,,Profile-prenatall_hero_es.jpg,Profile-prenatall_hero_es-mob.jpg,Esta historia es tan maravillosa que siempre querréis vivir un capítulo más,https://www.dodot.es/embarazo/calendario-del-embarazo/series/embarazo-semana-6?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week6_heroimg,"Descubre cada semana nuevos detalles, desde el embarazo hasta la llegada del bebé.",¡Noticias frescas! ¿Qué está pasando en tu embarazo?,https://www.dodot.es/embarazo/calendario-del-embarazo/sexta-semana-de-embarazo?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-6&utm_content=maincta _maincta,Mira lo que está pasando en la semana 6,5ea183a63f0da202d8d3f992/original.jpg?1587643302,Semana 6,5ea1864d3f0da2021cd3f623/original.jpg?1587643981,Semana 6,,,,,,,,,,,,,,,,,,,,,,"Ahora mismo tu peque está desarrollando todos los tejidos que serán sus rasgos faciales: ojitos, orejitas y su naricita ¡Qué monada!",,,Mira lo que está pasando en la semana 6,https://www.dodot.es/embarazo/calendario-del-embarazo/series/embarazo-semana-6?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week6_maincta,,,,
-33,Mira lo que está pasando en la semana 7,¿Sabes qué está pasando en esta semana de embarazo?,,https://www.dodot.es/?utm_source=pampersus&utm_medium=email&utm_campaign=welcome-content_prenatal_organic&utm_content=logo,ws-content-title-es.jpg.jpg,ws-content-title-es-mob.jpg.jpg,,Profile-prenatall_hero_es.jpg,Profile-prenatall_hero_es-mob.jpg,Esta historia es tan maravillosa que siempre querréis vivir un capítulo más,https://www.dodot.es/embarazo/calendario-del-embarazo/series/embarazo-semana-7?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week7_heroimg,"Descubre cada semana nuevos detalles, desde el embarazo hasta la llegada del bebé.",¡Noticias frescas! ¿Qué está pasando en tu embarazo?,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-7-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-7&utm_content=maincta _maincta,Mira lo que está pasando en la semana 7,5ea183a6b0c2be6d17462d1b/original.jpg?1587643302,Semana 7,5ea1864db0c2be6d8b462f24/original.jpg?1587643981,Semana 7,,,,,,,,,,,,,,,,,,,,,,"Aunque el cerebro de tu peque sigue en desarrollo continuo, las secciones básicas de su cerebro están formadas. ¡A que puedes decirle ""pequeño genio""!",,,Mira lo que está pasando en la semana 7,https://www.dodot.es/embarazo/calendario-del-embarazo/series/embarazo-semana-7?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week7_maincta,,,,
-32,Mira lo que está pasando en la semana 8,¿Sabes qué está pasando en esta semana de embarazo?,,https://www.dodot.es/?utm_source=pampersus&utm_medium=email&utm_campaign=welcome-content_prenatal_organic&utm_content=logo,ws-content-title-es.jpg.jpg,ws-content-title-es-mob.jpg.jpg,,Profile-prenatall_hero_es.jpg,Profile-prenatall_hero_es-mob.jpg,Esta historia es tan maravillosa que siempre querréis vivir un capítulo más,https://www.dodot.es/embarazo/calendario-del-embarazo/series/embarazo-semana-8?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week8_heroimg,"Descubre cada semana nuevos detalles, desde el embarazo hasta la llegada del bebé.",¡Noticias frescas! ¿Qué está pasando en tu embarazo?,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-8-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-8&utm_content=maincta _maincta,Mira lo que está pasando en la semana 8,5ea183a69ae1680f3bb33859/original.jpg?1587643302,Semana 8,5ea1864da995e77befc05d43/original.jpg?1587643981,Semana 8,,,,,,,,,,,,,,,,,,,,,,"
Las manos y los pies de tu bebé se están formando esta semana. ¡A qué no puedes esperar a ver y contar sus deditos!",,,Mira lo que está pasando en la semana 8,https://www.dodot.es/embarazo/calendario-del-embarazo/series/embarazo-semana-8?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week8_maincta,,,,
-31,Mira lo que está pasando en la semana 9,¿Sabes qué está pasando en esta semana de embarazo?,,https://www.dodot.es/?utm_source=pampersus&utm_medium=email&utm_campaign=welcome-content_prenatal_organic&utm_content=logo,ws-content-title-es.jpg.jpg,ws-content-title-es-mob.jpg.jpg,,Profile-prenatall_hero_es.jpg,Profile-prenatall_hero_es-mob.jpg,Esta historia es tan maravillosa que siempre querréis vivir un capítulo más,https://www.dodot.es/embarazo/calendario-del-embarazo/series/embarazo-semana-9?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week9_heroimg,"Descubre cada semana nuevos detalles, desde el embarazo hasta la llegada del bebé.",¡Noticias frescas! ¿Qué está pasando en tu embarazo?,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-9-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-9&utm_content=maincta _maincta,Mira lo que está pasando en la semana 9,5ea183a636dc786cd377aabc/original.jpg?1587643302,Semana 9,5ea1864db0c2be6f3b463016/original.jpg?1587643981,Semana 9,,,,,,,,,,,,,,,,,,,,,,"Aunque todavía no puedes sentirlo, ¡tu bebé está empezando a estar realmente activo!",,,Mira lo que está pasando en la semana 9,https://www.dodot.es/embarazo/calendario-del-embarazo/series/embarazo-semana-9?utm_source=newsletter&utm_medium=email&utm_campaign=welcome-day2-content_prenatal_organic&utm_content=body_week9_maincta,,,,
